election_id,election_date,poll_id,firm,date_published,sample_size,field_tested,source_url,candidate_id,candidate_name,share,is_residual
toronto_2014,2014-10-27,toronto_2014-2010-10-25-6a933a5f,2010 Election,2010-10-25,,rob_ford,https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.5289,True
toronto_2014,2014-10-27,toronto_2014-2010-10-25-6a933a5f,2010 Election,2010-10-25,,rob_ford,https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.4711,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-7682463f,Forum Research,2013-01-25,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,chow,Chow,0.52,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-7682463f,Forum Research,2013-01-25,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.08,True
toronto_2014,2014-10-27,toronto_2014-2013-01-25-7682463f,Forum Research,2013-01-25,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.4,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-a556e530,Forum Research,2013-01-25,,"rob_ford,stintz",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.11,True
toronto_2014,2014-10-27,toronto_2014-2013-01-25-a556e530,Forum Research,2013-01-25,,"rob_ford,stintz",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.4,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-a556e530,Forum Research,2013-01-25,,"rob_ford,stintz",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,stintz,Stintz,0.49,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-b9d08ec1,Forum Research,2013-01-25,,rob_ford,https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.55,True
toronto_2014,2014-10-27,toronto_2014-2013-01-25-b9d08ec1,Forum Research,2013-01-25,,rob_ford,https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.45,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-d2df21f9,Forum Research,2013-01-25,,"rob_ford,tory",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.16,True
toronto_2014,2014-10-27,toronto_2014-2013-01-25-d2df21f9,Forum Research,2013-01-25,,"rob_ford,tory",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.36,False
toronto_2014,2014-10-27,toronto_2014-2013-01-25-d2df21f9,Forum Research,2013-01-25,,"rob_ford,tory",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,tory,Tory,0.48,False
toronto_2014,2014-10-27,toronto_2014-2013-03-21-1d85c80b,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,chow,Chow,0.43,False
toronto_2014,2014-10-27,toronto_2014-2013-03-21-1d85c80b,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.25,True
toronto_2014,2014-10-27,toronto_2014-2013-03-21-1d85c80b,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.32,False
toronto_2014,2014-10-27,toronto_2014-2013-03-21-47574b99,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,chow,Chow,0.47,False
toronto_2014,2014-10-27,toronto_2014-2013-03-21-47574b99,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,residual,Other / undecided,0.21,True
toronto_2014,2014-10-27,toronto_2014-2013-03-21-47574b99,Forum Research,2013-03-21,,"chow,rob_ford",https://en.wikipedia.org/wiki/2014_Toronto_mayoral_election,rob_ford,R. Ford,0.32,False
