year,ward,candidate,votes
2018,3,Pampena Joseph,30
2018,3,Rachlis Josh,3
2018,3,Renée D!ONNE,69
2018,3,Ruel Jim,6
2018,3,Sears James,33
2018,3,Singh Knia,90
2018,3,Tory John,27928
2018,3,Vardy Jakob,51
2018,3,Vintila Ion Gelu,19
2018,3,Weenen Jack,28
2018,4,Basaric Dobrosav,109
2018,4,Brosky Chris,97
2018,4,Buckingham Drew,60
2018,4,Buffey Brian,31
2018,4,Choy Logan,51
2018,4,Christoff Daryl,44
2018,4,Clarke Kevin,98
2018,4,Climenhaga Sarah,258
2018,4,Gallay Mike,52
2018,4,Gebresellassi Saron,1196
2018,4,Goldy Faith,959
2018,4,Graff Brian,40
2018,4,Haque Tofazzel,25
2018,4,Hossain Monowar,35
2018,4,Humphrey Christopher,50
2018,4,Kalevar Chai,27
2018,4,Kardys Andrzej,113
2018,4,Keesmaat Jennifer,15661
2018,4,Lam Steven,85
2018,4,Langenfeld Kris,17
2018,4,McMillan Jim,34
2018,4,Nath Gautam,19
2018,4,Nicula Michael,17
2018,4,O'Neill Thomas,37
2018,4,Osuji Joseph,10
2018,4,Pampena Joseph,17
2018,4,Rachlis Josh,10
2018,4,Renée D!ONNE,50
2018,4,Ruel Jim,4
2018,4,Sears James,17
2018,4,Singh Knia,117
2018,4,Tory John,19405
2018,4,Vardy Jakob,17
2018,4,Vintila Ion Gelu,13
2018,4,Weenen Jack,16
2018,5,Basaric Dobrosav,170
2018,5,Brosky Chris,169
2018,5,Buckingham Drew,104
2018,5,Buffey Brian,83
2018,5,Choy Logan,134
2018,5,Christoff Daryl,110
2018,5,Clarke Kevin,246
2018,5,Climenhaga Sarah,259
2018,5,Gallay Mike,113
2018,5,Gebresellassi Saron,836
2018,5,Goldy Faith,911
2018,5,Graff Brian,62
2018,5,Haque Tofazzel,31
2018,5,Hossain Monowar,376
2018,5,Humphrey Christopher,76
2018,5,Kalevar Chai,37
2018,5,Kardys Andrzej,56
2018,5,Keesmaat Jennifer,4401
2018,5,Lam Steven,214
2018,5,Langenfeld Kris,36
2018,5,McMillan Jim,124
2018,5,Nath Gautam,29
2018,5,Nicula Michael,81
2018,5,O'Neill Thomas,77
2018,5,Osuji Joseph,57
2018,5,Pampena Joseph,89
2018,5,Rachlis Josh,11
2018,5,Renée D!ONNE,65
2018,5,Ruel Jim,12
2018,5,Sears James,31
2018,5,Singh Knia,124
2018,5,Tory John,16756
2018,5,Vardy Jakob,49
2018,5,Vintila Ion Gelu,41
2018,5,Weenen Jack,35
2018,6,Basaric Dobrosav,211
2018,6,Brosky Chris,164
2018,6,Buckingham Drew,82
2018,6,Buffey Brian,62
2018,6,Choy Logan,85
2018,6,Christoff Daryl,66
2018,6,Clarke Kevin,159
2018,6,Climenhaga Sarah,137
2018,6,Gallay Mike,67
2018,6,Gebresellassi Saron,298
2018,6,Goldy Faith,1165
2018,6,Graff Brian,58
2018,6,Haque Tofazzel,15
2018,6,Hossain Monowar,52
2018,6,Humphrey Christopher,41
2018,6,Kalevar Chai,27
2018,6,Kardys Andrzej,32
2018,6,Keesmaat Jennifer,3249
2018,6,Lam Steven,120
2018,6,Langenfeld Kris,46
2018,6,McMillan Jim,70
2018,6,Nath Gautam,17
2018,6,Nicula Michael,77
2018,6,O'Neill Thomas,33
2018,6,Osuji Joseph,14
2018,6,Pampena Joseph,66
2018,6,Rachlis Josh,23
2018,6,Renée D!ONNE,53
2018,6,Ruel Jim,17
2018,6,Sears James,36
2018,6,Singh Knia,77
2018,6,Tory John,17484
2018,6,Vardy Jakob,49
2018,6,Vintila Ion Gelu,23
2018,6,Weenen Jack,28
2018,7,Basaric Dobrosav,205
2018,7,Brosky Chris,171
2018,7,Buckingham Drew,116
2018,7,Buffey Brian,77
2018,7,Choy Logan,166
2018,7,Christoff Daryl,162
2018,7,Clarke Kevin,289
2018,7,Climenhaga Sarah,203
2018,7,Gallay Mike,116
2018,7,Gebresellassi Saron,440
2018,7,Goldy Faith,698
2018,7,Graff Brian,54
2018,7,Haque Tofazzel,74
2018,7,Hossain Monowar,173
2018,7,Humphrey Christopher,103
2018,7,Kalevar Chai,27
2018,7,Kardys Andrzej,52
2018,7,Keesmaat Jennifer,3220
2018,7,Lam Steven,411
2018,7,Langenfeld Kris,42
2018,7,McMillan Jim,156
2018,7,Nath Gautam,79
2018,7,Nicula Michael,88
2018,7,O'Neill Thomas,99
2018,7,Osuji Joseph,72
2018,7,Pampena Joseph,131
2018,7,Rachlis Josh,22
2018,7,Renée D!ONNE,128
2018,7,Ruel Jim,14
2018,7,Sears James,53
2018,7,Singh Knia,223
2018,7,Tory John,13990
2018,7,Vardy Jakob,51
2018,7,Vintila Ion Gelu,39
2018,7,Weenen Jack,36
2018,8,Basaric Dobrosav,86
2018,8,Brosky Chris,80
2018,8,Buckingham Drew,73
2018,8,Buffey Brian,35
2018,8,Choy Logan,55
2018,8,Christoff Daryl,64
2018,8,Clarke Kevin,103
2018,8,Climenhaga Sarah,169
2018,8,Gallay Mike,118
2018,8,Gebresellassi Saron,414
2018,8,Goldy Faith,1126
2018,8,Graff Brian,45
2018,8,Haque Tofazzel,14
2018,8,Hossain Monowar,42
2018,8,Humphrey Christopher,31
2018,8,Kalevar Chai,22
2018,8,Kardys Andrzej,21
2018,8,Keesmaat Jennifer,6299
2018,8,Lam Steven,94
2018,8,Langenfeld Kris,22
2018,8,McMillan Jim,70
2018,8,Nath Gautam,5
2018,8,Nicula Michael,43
2018,8,O'Neill Thomas,34
2018,8,Osuji Joseph,8
2018,8,Pampena Joseph,32
2018,8,Rachlis Josh,19
2018,8,Renée D!ONNE,45
2018,8,Ruel Jim,6
2018,8,Sears James,17
2018,8,Singh Knia,66
2018,8,Tory John,25227
2018,8,Vardy Jakob,29
2018,8,Vintila Ion Gelu,26
2018,8,Weenen Jack,13
2018,9,Basaric Dobrosav,204
2018,9,Brosky Chris,114
2018,9,Buckingham Drew,77
2018,9,Buffey Brian,64
2018,9,Choy Logan,82
2018,9,Christoff Daryl,75
2018,9,Clarke Kevin,171
2018,9,Climenhaga Sarah,288
2018,9,Gallay Mike,82
2018,9,Gebresellassi Saron,1649
2018,9,Goldy Faith,661
2018,9,Graff Brian,40
2018,9,Haque Tofazzel,22
2018,9,Hossain Monowar,53
2018,9,Humphrey Christopher,46
2018,9,Kalevar Chai,23
2018,9,Kardys Andrzej,26
2018,9,Keesmaat Jennifer,13492
2018,9,Lam Steven,127
2018,9,Langenfeld Kris,13
2018,9,McMillan Jim,81
2018,9,Nath Gautam,17
2018,9,Nicula Michael,26
2018,9,O'Neill Thomas,51
2018,9,Osuji Joseph,17
2018,9,Pampena Joseph,36
2018,9,Rachlis Josh,9
2018,9,Renée D!ONNE,65
2018,9,Ruel Jim,10
2018,9,Sears James,24
2018,9,Singh Knia,112
2018,9,Tory John,13641
2018,9,Vardy Jakob,32
2018,9,Vintila Ion Gelu,17
2018,9,Weenen Jack,34
2018,10,Basaric Dobrosav,45
2018,10,Brosky Chris,58
2018,10,Buckingham Drew,55
2018,10,Buffey Brian,28
2018,10,Choy Logan,76
2018,10,Christoff Daryl,40
2018,10,Clarke Kevin,73
2018,10,Climenhaga Sarah,199
2018,10,Gallay Mike,47
2018,10,Gebresellassi Saron,784
2018,10,Goldy Faith,768
2018,10,Graff Brian,32
2018,10,Haque Tofazzel,19
2018,10,Hossain Monowar,37
2018,10,Humphrey Christopher,27
2018,10,Kalevar Chai,11
2018,10,Kardys Andrzej,20
2018,10,Keesmaat Jennifer,11446
2018,10,Lam Steven,126
2018,10,Langenfeld Kris,10
2018,10,McMillan Jim,32
2018,10,Nath Gautam,17
2018,10,Nicula Michael,10
2018,10,O'Neill Thomas,25
2018,10,Osuji Joseph,23
2018,10,Pampena Joseph,7
2018,10,Rachlis Josh,8
2018,10,Renée D!ONNE,41
2018,10,Ruel Jim,5
2018,10,Sears James,19
2018,10,Singh Knia,64
2018,10,Tory John,16128
2018,10,Vardy Jakob,25
2018,10,Vintila Ion Gelu,4
2018,10,Weenen Jack,10
2018,11,Basaric Dobrosav,49
2018,11,Brosky Chris,45
2018,11,Buckingham Drew,38
2018,11,Buffey Brian,26
2018,11,Choy Logan,59
2018,11,Christoff Daryl,86
2018,11,Clarke Kevin,70
2018,11,Climenhaga Sarah,206
2018,11,Gallay Mike,67
2018,11,Gebresellassi Saron,1135
2018,11,Goldy Faith,673
2018,11,Graff Brian,29
2018,11,Haque Tofazzel,12
2018,11,Hossain Monowar,30
2018,11,Humphrey Christopher,20
2018,11,Kalevar Chai,13
2018,11,Kardys Andrzej,14
2018,11,Keesmaat Jennifer,13800
2018,11,Lam Steven,108
2018,11,Langenfeld Kris,10
2018,11,McMillan Jim,36
2018,11,Nath Gautam,12
2018,11,Nicula Michael,15
2018,11,O'Neill Thomas,18
2018,11,Osuji Joseph,8
2018,11,Pampena Joseph,9
2018,11,Rachlis Josh,8
2018,11,Renée D!ONNE,25
2018,11,Ruel Jim,4
2018,11,Sears James,12
2018,11,Singh Knia,54
2018,11,Tory John,17304
2018,11,Vardy Jakob,25
2018,11,Vintila Ion Gelu,8
2018,11,Weenen Jack,15
2018,12,Basaric Dobrosav,92
2018,12,Brosky Chris,67
2018,12,Buckingham Drew,62
2018,12,Buffey Brian,36
2018,12,Choy Logan,50
2018,12,Christoff Daryl,55
2018,12,Clarke Kevin,75
2018,12,Climenhaga Sarah,282
2018,12,Gallay Mike,59
2018,12,Gebresellassi Saron,901
2018,12,Goldy Faith,832
2018,12,Graff Brian,28
2018,12,Haque Tofazzel,4
2018,12,Hossain Monowar,32
2018,12,Humphrey Christopher,35
2018,12,Kalevar Chai,14
2018,12,Kardys Andrzej,12
2018,12,Keesmaat Jennifer,11841
2018,12,Lam Steven,62
2018,12,Langenfeld Kris,23
2018,12,McMillan Jim,61
2018,12,Nath Gautam,12
2018,12,Nicula Michael,22
2018,12,O'Neill Thomas,38
2018,12,Osuji Joseph,17
2018,12,Pampena Joseph,24
2018,12,Rachlis Josh,37
2018,12,Renée D!ONNE,58
2018,12,Ruel Jim,3
2018,12,Sears James,14
2018,12,Singh Knia,87
2018,12,Tory John,24959
2018,12,Vardy Jakob,27
2018,12,Vintila Ion Gelu,8
2018,12,Weenen Jack,15
2018,13,Basaric Dobrosav,72
2018,13,Brosky Chris,85
2018,13,Buckingham Drew,57
2018,13,Buffey Brian,36
2018,13,Choy Logan,101
2018,13,Christoff Daryl,45
2018,13,Clarke Kevin,130
2018,13,Climenhaga Sarah,267
2018,13,Gallay Mike,48
2018,13,Gebresellassi Saron,1249
2018,13,Goldy Faith,692
2018,13,Graff Brian,34
2018,13,Haque Tofazzel,179
2018,13,Hossain Monowar,241
2018,13,Humphrey Christopher,48
2018,13,Kalevar Chai,19
2018,13,Kardys Andrzej,26
2018,13,Keesmaat Jennifer,11565
2018,13,Lam Steven,131
2018,13,Langenfeld Kris,30
2018,13,McMillan Jim,66
2018,13,Nath Gautam,12
2018,13,Nicula Michael,7
2018,13,O'Neill Thomas,38
2018,13,Osuji Joseph,10
2018,13,Pampena Joseph,13
2018,13,Rachlis Josh,3
2018,13,Renée D!ONNE,57
2018,13,Ruel Jim,7
2018,13,Sears James,23
2018,13,Singh Knia,138
2018,13,Tory John,16223
2018,13,Vardy Jakob,26
2018,13,Vintila Ion Gelu,10
2018,13,Weenen Jack,22
2018,14,Basaric Dobrosav,98
2018,14,Brosky Chris,146
2018,14,Buckingham Drew,51
2018,14,Buffey Brian,34
2018,14,Choy Logan,147
2018,14,Christoff Daryl,71
2018,14,Clarke Kevin,156
2018,14,Climenhaga Sarah,210
2018,14,Gallay Mike,62
2018,14,Gebresellassi Saron,1011
2018,14,Goldy Faith,1028
2018,14,Graff Brian,32
2018,14,Haque Tofazzel,36
2018,14,Hossain Monowar,83
2018,14,Humphrey Christopher,59
2018,14,Kalevar Chai,24
2018,14,Kardys Andrzej,33
2018,14,Keesmaat Jennifer,14199
2018,14,Lam Steven,182
2018,14,Langenfeld Kris,38
2018,14,McMillan Jim,65
2018,14,Nath Gautam,9
2018,14,Nicula Michael,28
2018,14,O'Neill Thomas,42
2018,14,Osuji Joseph,14
2018,14,Pampena Joseph,27
2018,14,Rachlis Josh,17
2018,14,Renée D!ONNE,46
2018,14,Ruel Jim,24
2018,14,Sears James,24
2018,14,Singh Knia,81
2018,14,Tory John,20636
2018,14,Vardy Jakob,20
2018,14,Vintila Ion Gelu,6
2018,14,Weenen Jack,31
2018,15,Basaric Dobrosav,68
2018,15,Brosky Chris,43
2018,15,Buckingham Drew,59
2018,15,Buffey Brian,20
2018,15,Choy Logan,39
2018,15,Christoff Daryl,16
2018,15,Clarke Kevin,59
2018,15,Climenhaga Sarah,137
2018,15,Gallay Mike,23
2018,15,Gebresellassi Saron,252
2018,15,Goldy Faith,849
2018,15,Graff Brian,34
2018,15,Haque Tofazzel,68
2018,15,Hossain Monowar,224
2018,15,Humphrey Christopher,26
2018,15,Kalevar Chai,14
2018,15,Kardys Andrzej,12
2018,15,Keesmaat Jennifer,5788
2018,15,Lam Steven,92
2018,15,Langenfeld Kris,18
2018,15,McMillan Jim,40
2018,15,Nath Gautam,10
2018,15,Nicula Michael,7
2018,15,O'Neill Thomas,26
2018,15,Osuji Joseph,4
2018,15,Pampena Joseph,6
2018,15,Rachlis Josh,15
2018,15,Renée D!ONNE,19
2018,15,Ruel Jim,2
2018,15,Sears James,10
2018,15,Singh Knia,45
2018,15,Tory John,25335
2018,15,Vardy Jakob,15
2018,15,Vintila Ion Gelu,13
2018,15,Weenen Jack,20
2018,16,Basaric Dobrosav,88
2018,16,Brosky Chris,79
2018,16,Buckingham Drew,61
2018,16,Buffey Brian,38
2018,16,Choy Logan,74
2018,16,Christoff Daryl,86
2018,16,Clarke Kevin,129
2018,16,Climenhaga Sarah,138
2018,16,Gallay Mike,33
2018,16,Gebresellassi Saron,330
2018,16,Goldy Faith,905
2018,16,Graff Brian,41
2018,16,Haque Tofazzel,64
2018,16,Hossain Monowar,203
2018,16,Humphrey Christopher,51
2018,16,Kalevar Chai,18
2018,16,Kardys Andrzej,22
2018,16,Keesmaat Jennifer,3857
2018,16,Lam Steven,120
2018,16,Langenfeld Kris,21
2018,16,McMillan Jim,71
2018,16,Nath Gautam,35
2018,16,Nicula Michael,47
2018,16,O'Neill Thomas,47
2018,16,Osuji Joseph,10
2018,16,Pampena Joseph,7
2018,16,Rachlis Josh,12
2018,16,Renée D!ONNE,46
2018,16,Ruel Jim,4
2018,16,Sears James,21
2018,16,Singh Knia,111
2018,16,Tory John,17429
2018,16,Vardy Jakob,24
2018,16,Vintila Ion Gelu,41
2018,16,Weenen Jack,18
2018,17,Basaric Dobrosav,86
2018,17,Brosky Chris,84
2018,17,Buckingham Drew,61
2018,17,Buffey Brian,47
2018,17,Choy Logan,142
2018,17,Christoff Daryl,57
2018,17,Clarke Kevin,154
2018,17,Climenhaga Sarah,154
2018,17,Gallay Mike,66
2018,17,Gebresellassi Saron,227
2018,17,Goldy Faith,1305
2018,17,Graff Brian,37
2018,17,Haque Tofazzel,31
2018,17,Hossain Monowar,132
2018,17,Humphrey Christopher,33
2018,17,Kalevar Chai,23
2018,17,Kardys Andrzej,18
2018,17,Keesmaat Jennifer,4053
2018,17,Lam Steven,723
2018,17,Langenfeld Kris,31
2018,17,McMillan Jim,87
2018,17,Nath Gautam,50
2018,17,Nicula Michael,25
2018,17,O'Neill Thomas,56
2018,17,Osuji Joseph,17
2018,17,Pampena Joseph,10
2018,17,Rachlis Josh,11
2018,17,Renée D!ONNE,32
2018,17,Ruel Jim,10
2018,17,Sears James,32
2018,17,Singh Knia,93
2018,17,Tory John,18172
2018,17,Vardy Jakob,23
2018,17,Vintila Ion Gelu,50
2018,17,Weenen Jack,21
2018,18,Basaric Dobrosav,89
2018,18,Brosky Chris,78
2018,18,Buckingham Drew,53
2018,18,Buffey Brian,41
2018,18,Choy Logan,264
2018,18,Christoff Daryl,35
2018,18,Clarke Kevin,120
2018,18,Climenhaga Sarah,133
2018,18,Gallay Mike,47
2018,18,Gebresellassi Saron,263
2018,18,Goldy Faith,1064
2018,18,Graff Brian,48
2018,18,Haque Tofazzel,10
2018,18,Hossain Monowar,69
2018,18,Humphrey Christopher,43
2018,18,Kalevar Chai,25
2018,18,Kardys Andrzej,13
2018,18,Keesmaat Jennifer,4508
2018,18,Lam Steven,431
2018,18,Langenfeld Kris,36
2018,18,McMillan Jim,93
2018,18,Nath Gautam,29
2018,18,Nicula Michael,36
2018,18,O'Neill Thomas,49
2018,18,Osuji Joseph,20
2018,18,Pampena Joseph,17
2018,18,Rachlis Josh,19
2018,18,Renée D!ONNE,33
2018,18,Ruel Jim,7
2018,18,Sears James,25
2018,18,Singh Knia,68
2018,18,Tory John,17965
2018,18,Vardy Jakob,31
2018,18,Vintila Ion Gelu,24
2018,18,Weenen Jack,19
2018,19,Basaric Dobrosav,81
2018,19,Brosky Chris,66
2018,19,Buckingham Drew,55
2018,19,Buffey Brian,54
2018,19,Choy Logan,62
2018,19,Christoff Daryl,56
2018,19,Clarke Kevin,145
2018,19,Climenhaga Sarah,222
2018,19,Gallay Mike,98
2018,19,Gebresellassi Saron,768
2018,19,Goldy Faith,1031
2018,19,Graff Brian,59
2018,19,Haque Tofazzel,168
2018,19,Hossain Monowar,97
2018,19,Humphrey Christopher,52
2018,19,Kalevar Chai,18
2018,19,Kardys Andrzej,16
2018,19,Keesmaat Jennifer,10975
2018,19,Lam Steven,77
2018,19,Langenfeld Kris,23
2018,19,McMillan Jim,89
2018,19,Nath Gautam,34
2018,19,Nicula Michael,26
2018,19,O'Neill Thomas,37
2018,19,Osuji Joseph,12
2018,19,Pampena Joseph,15
2018,19,Rachlis Josh,20
2018,19,Renée D!ONNE,49
2018,19,Ruel Jim,7
2018,19,Sears James,41
2018,19,Singh Knia,98
2018,19,Tory John,22890
2018,19,Vardy Jakob,28
2018,19,Vintila Ion Gelu,18
2018,19,Weenen Jack,28
2018,20,Basaric Dobrosav,105
2018,20,Brosky Chris,106
2018,20,Buckingham Drew,111
2018,20,Buffey Brian,72
2018,20,Choy Logan,134
2018,20,Christoff Daryl,70
2018,20,Clarke Kevin,196
2018,20,Climenhaga Sarah,170
2018,20,Gallay Mike,87
2018,20,Gebresellassi Saron,599
2018,20,Goldy Faith,1190
2018,20,Graff Brian,79
2018,20,Haque Tofazzel,790
2018,20,Hossain Monowar,289
2018,20,Humphrey Christopher,87
2018,20,Kalevar Chai,23
2018,20,Kardys Andrzej,20
2018,20,Keesmaat Jennifer,5162
2018,20,Lam Steven,104
2018,20,Langenfeld Kris,19
2018,20,McMillan Jim,105
2018,20,Nath Gautam,83
2018,20,Nicula Michael,65
2018,20,O'Neill Thomas,74
2018,20,Osuji Joseph,10
2018,20,Pampena Joseph,22
2018,20,Rachlis Josh,12
2018,20,Renée D!ONNE,49
2018,20,Ruel Jim,7
2018,20,Sears James,27
2018,20,Singh Knia,115
2018,20,Tory John,19589
2018,20,Vardy Jakob,35
2018,20,Vintila Ion Gelu,21
2018,20,Weenen Jack,26
2018,21,Basaric Dobrosav,112
2018,21,Brosky Chris,101
2018,21,Buckingham Drew,98
2018,21,Buffey Brian,68
2018,21,Choy Logan,157
2018,21,Christoff Daryl,90
2018,21,Clarke Kevin,169
2018,21,Climenhaga Sarah,184
2018,21,Gallay Mike,83
2018,21,Gebresellassi Saron,392
2018,21,Goldy Faith,1141
2018,21,Graff Brian,44
2018,21,Haque Tofazzel,158
2018,21,Hossain Monowar,246
2018,21,Humphrey Christopher,81
2018,21,Kalevar Chai,23
2018,21,Kardys Andrzej,35
2018,21,Keesmaat Jennifer,3582
2018,21,Lam Steven,186
2018,21,Langenfeld Kris,28
2018,21,McMillan Jim,140
2018,21,Nath Gautam,91
2018,21,Nicula Michael,56
2018,21,O'Neill Thomas,99
2018,21,Osuji Joseph,17
2018,21,Pampena Joseph,19
2018,21,Rachlis Josh,10
2018,21,Renée D!ONNE,31
2018,21,Ruel Jim,10
2018,21,Sears James,41
2018,21,Singh Knia,133
2018,21,Tory John,16655
2018,21,Vardy Jakob,22
2018,21,Vintila Ion Gelu,27
2018,21,Weenen Jack,23
2018,22,Basaric Dobrosav,128
2018,22,Brosky Chris,164
2018,22,Buckingham Drew,152
2018,22,Buffey Brian,80
2018,22,Choy Logan,385
2018,22,Christoff Daryl,87
2018,22,Clarke Kevin,230
2018,22,Climenhaga Sarah,133
2018,22,Gallay Mike,133
2018,22,Gebresellassi Saron,199
2018,22,Goldy Faith,1332
2018,22,Graff Brian,52
2018,22,Haque Tofazzel,47
2018,22,Hossain Monowar,131
2018,22,Humphrey Christopher,74
2018,22,Kalevar Chai,72
2018,22,Kardys Andrzej,36
2018,22,Keesmaat Jennifer,3138
2018,22,Lam Steven,1069
2018,22,Langenfeld Kris,37
2018,22,McMillan Jim,271
2018,22,Nath Gautam,59
2018,22,Nicula Michael,39
2018,22,O'Neill Thomas,54
2018,22,Osuji Joseph,25
2018,22,Pampena Joseph,40
2018,22,Rachlis Josh,16
2018,22,Renée D!ONNE,44
2018,22,Ruel Jim,64
2018,22,Sears James,38
2018,22,Singh Knia,142
2018,22,Tory John,17150
2018,22,Vardy Jakob,31
2018,22,Vintila Ion Gelu,28
2018,22,Weenen Jack,37
2018,23,Basaric Dobrosav,123
2018,23,Brosky Chris,103
2018,23,Buckingham Drew,79
2018,23,Buffey Brian,39
2018,23,Choy Logan,523
2018,23,Christoff Daryl,37
2018,23,Clarke Kevin,125
2018,23,Climenhaga Sarah,118
2018,23,Gallay Mike,73
2018,23,Gebresellassi Saron,228
2018,23,Goldy Faith,841
2018,23,Graff Brian,34
2018,23,Haque Tofazzel,99
2018,23,Hossain Monowar,179
2018,23,Humphrey Christopher,60
2018,23,Kalevar Chai,52
2018,23,Kardys Andrzej,20
2018,23,Keesmaat Jennifer,2631
2018,23,Lam Steven,913
2018,23,Langenfeld Kris,25
2018,23,McMillan Jim,91
2018,23,Nath Gautam,200
2018,23,Nicula Michael,44
2018,23,O'Neill Thomas,46
2018,23,Osuji Joseph,17
2018,23,Pampena Joseph,21
2018,23,Rachlis Josh,17
2018,23,Renée D!ONNE,36
2018,23,Ruel Jim,11
2018,23,Sears James,31
2018,23,Singh Knia,202
2018,23,Tory John,13503
2018,23,Vardy Jakob,21
2018,23,Vintila Ion Gelu,21
2018,23,Weenen Jack,29
2018,24,Basaric Dobrosav,76
2018,24,Brosky Chris,89
2018,24,Buckingham Drew,98
2018,24,Buffey Brian,69
2018,24,Choy Logan,204
2018,24,Christoff Daryl,57
2018,24,Clarke Kevin,195
2018,24,Climenhaga Sarah,156
2018,24,Gallay Mike,90
2018,24,Gebresellassi Saron,313
2018,24,Goldy Faith,709
2018,24,Graff Brian,51
2018,24,Haque Tofazzel,164
2018,24,Hossain Monowar,232
2018,24,Humphrey Christopher,77
2018,24,Kalevar Chai,18
2018,24,Kardys Andrzej,29
2018,24,Keesmaat Jennifer,3332
2018,24,Lam Steven,126
2018,24,Langenfeld Kris,32
2018,24,McMillan Jim,107
2018,24,Nath Gautam,158
2018,24,Nicula Michael,23
2018,24,O'Neill Thomas,69
2018,24,Osuji Joseph,19
2018,24,Pampena Joseph,25
2018,24,Rachlis Josh,10
2018,24,Renée D!ONNE,57
2018,24,Ruel Jim,16
2018,24,Sears James,22
2018,24,Singh Knia,172
2018,24,Tory John,16098
2018,24,Vardy Jakob,31
2018,24,Vintila Ion Gelu,18
2018,24,Weenen Jack,27
2018,25,Basaric Dobrosav,73
2018,25,Brosky Chris,77
2018,25,Buckingham Drew,96
2018,25,Buffey Brian,57
2018,25,Choy Logan,289
2018,25,Christoff Daryl,61
2018,25,Clarke Kevin,182
2018,25,Climenhaga Sarah,142
2018,25,Gallay Mike,91
2018,25,Gebresellassi Saron,424
2018,25,Goldy Faith,840
2018,25,Graff Brian,47
2018,25,Haque Tofazzel,141
2018,25,Hossain Monowar,142
2018,25,Humphrey Christopher,88
2018,25,Kalevar Chai,26
2018,25,Kardys Andrzej,43
2018,25,Keesmaat Jennifer,4186
2018,25,Lam Steven,148
2018,25,Langenfeld Kris,43
2018,25,McMillan Jim,163
2018,25,Nath Gautam,223
2018,25,Nicula Michael,37
2018,25,O'Neill Thomas,64
2018,25,Osuji Joseph,26
2018,25,Pampena Joseph,33
2018,25,Rachlis Josh,9
2018,25,Renée D!ONNE,64
2018,25,Ruel Jim,10
2018,25,Sears James,28
2018,25,Singh Knia,275
2018,25,Tory John,20796
2018,25,Vardy Jakob,29
2018,25,Vintila Ion Gelu,28
2018,25,Weenen Jack,19
2023,1,Abdulsalam Bahira,56
2023,1,Acquaye Emmanuel,23
2023,1,Acton Blake,11
2023,1,Ahmed Sharif,54
2023,1,Alam Asadul,10
2023,1,Allan Gru Jesse,17
2023,1,Aly Atef,7
2023,1,Apostolopoulos Dionysios,15
2023,1,Atkinson Darren,9
2023,1,Atkinson Jamie,19
2023,1,Bailão Ana,5748
2023,1,Baking Jose,16
2023,1,Bankas Ben,9
2023,1,Beals Claudette,4
2023,1,Benway Glen,7
2023,1,Bonilla Eliazar,17
2023,1,Bradford Brad,217
2023,1,Brown Chloe,568
2023,1,Buffey Brian,9
2023,1,Caesar-Chavannes Celina,19
2023,1,Carrie Mason,7
2023,1,Chan Roland,20
2023,1,Charlton Matti,9
2023,1,Chevalier Romero Danny,22
2023,1,Chow Olivia,4972
2023,1,Choy Logan,21
2023,1,Clarke Kevin,9
2023,1,Climenhaga Sarah,7
2023,1,Cohen Gordon,9
2023,1,Collins Paul,7
2023,1,D'Amico Frank,15
2023,1,D'Angelo Frank,13
2023,1,Davis Rob,27
2023,1,D'Cruze Phillip,6
2023,1,Deb Samson,3
2023,1,Desai Habiba,8
2023,1,Deville Cory,9
2023,1,Fenby Simryn,4
2023,1,Forrester Monica,11
2023,1,Furey Anthony,1031
2023,1,Furnival Scott,4
2023,1,Gamk Isabella,3
2023,1,Gao Feng,6
2023,1,Gong Xiao Hua,162
2023,1,Goraya Adil,9
2023,1,Graff Brian,3
2023,1,Grosman Ari,6
2023,1,Guglielmin James,5
2023,1,Gulyas David,7
2023,1,Hall Thomas,20
2023,1,Handjis Peter,5
2023,1,He Heather,4
2023,1,Heaps Toby,9
2023,1,Hossain Monowar,10
2023,1,Hunter Mitzie,478
2023,1,Igodan Sheila,8
2023,1,Irmya Daniel,1
2023,1,Jaffery Syed,8
2023,1,Jensen Michael,8
2023,1,Johnston Patricia,17
2023,1,Khan Walayat,5
2023,1,Korovitsyn Serge,3
2023,1,Lamoureux Michael,6
2023,1,Langenfeld Kris,6
2023,1,Lee Rick,6
2023,1,LeLiever Mark,16
2023,1,Letonja John,4
2023,1,MacLeod Norman,6
2023,1,Mammoliti Giorgio,67
2023,1,Mann Steve,10
2023,1,Marshall Cleveland,6
2023,1,Matlow Josh,313
2023,1,Mohee Faizul,9
2023,1,Murphy Bob,10
2023,1,Nicula Michael,5
2023,1,Nowwarah Jamil,2
2023,1,Perruzza Anthony,143
2023,1,Ransome John,9
2023,1,Renée D!ONNE,10
2023,1,Reodica Willie,10
2023,1,Rubino Walter,4
2023,1,Saccoccia Chris,334
2023,1,Sanders Lyall,126
2023,1,Saunders Mark,2744
2023,1,Schipano Rocco,9
2023,1,Shusterman Robert,1
2023,1,Singh Knia,21
2023,1,Singh Partap Dua,22
2023,1,Sivaneswaran Raksheni,26
2023,1,Sniedzins Erwin,0
2023,1,Srivastava Sandeep,28
2023,1,Straus Meir,2
2023,1,Tang Weizhen,1
2023,1,Toye Mitchell,7
2023,1,Tull Reginald,7
2023,1,Tunney Jeffery,1
2023,1,Vadivelu Kiri,9
2023,1,Weenen Jack,0
2023,1,Wei Yuanqian,4
2023,1,Williams Jody,5
2023,1,Winter John,4
