prior_election,election_year,ward,incumbent_name,prior_share,prior_margin,candidate_count,log_candidate_count,returning_runner_up,first_term,incumbent_won
2003,2006,1,"Hall, Suzan",0.3085011584387809,0.0785956157547674,8,2.0794415416798357,0.0,1.0,1
2003,2006,2,"Ford, Rob",0.7939634511683643,0.6325644098262433,6,1.791759469228055,0.0,1.0,1
2003,2006,3,"Holyday, Doug",0.7080215764746824,0.5592483034626763,4,1.3862943611198906,1.0,1.0,1
2003,2006,4,"Lindsay Luby, Gloria",0.4867727655986509,0.11857082630691401,3,1.0986122886681098,0.0,1.0,1
2003,2006,5,"Milczyn, Peter",0.714389942754518,0.42877988550903584,5,1.6094379124341003,0.0,1.0,1
2003,2006,6,"Grimes, Mark",0.3239795918367347,0.0821185617103985,9,2.1972245773362196,0.0,1.0,1
2003,2006,8,"Li Preti, Peter",0.5253093363329584,0.0506186726659168,6,1.791759469228055,1.0,1.0,0
2003,2006,9,"Augimeri, Maria",0.7418052033436648,0.6421527190757961,2,0.6931471805599453,0.0,1.0,1
2003,2006,10,"Feldman, Michael",0.7383634746516454,0.47672694930329085,7,1.9459101490553132,0.0,1.0,1
2003,2006,11,"Nunziata, Frances",0.779842744817727,0.559685489635454,4,1.3862943611198906,0.0,1.0,1
2003,2006,12,"Di Giorgio, Frank",0.6718622564567286,0.3437245129134572,5,1.6094379124341003,1.0,1.0,1
2003,2006,13,"Saundercook, Bill",0.3973772798070643,0.05561975581570616,6,1.791759469228055,0.0,1.0,1
2003,2006,15,"Moscoe, Howard",0.5260175523460715,0.2900974362518141,7,1.9459101490553132,0.0,1.0,1
2003,2006,16,"Stintz, Karen",0.4292445338556832,0.12287574778971888,6,1.791759469228055,0.0,1.0,1
2003,2006,17,"Palacio, Cesar",0.4499736703528172,0.0694225030717921,7,1.9459101490553132,1.0,1.0,1
2003,2006,18,"Giambrone, Adam",0.5152888888888889,0.1120000000000001,6,1.791759469228055,0.0,1.0,1
2003,2006,19,"Pantalone, Joe",0.753012922898214,0.5301292289821402,4,1.3862943611198906,0.0,1.0,1
2003,2006,21,"Mihevc, Joe",0.6563461886655803,0.42645905003319456,4,1.3862943611198906,0.0,1.0,1
2003,2006,22,"Walker, Michael",0.833237958989032,0.6664759179780639,3,1.0986122886681098,0.0,1.0,1
2003,2006,23,"Filion, John",0.8338455975411319,0.6676911950822637,5,1.6094379124341003,1.0,1.0,1
2003,2006,27,"Rae, Kyle",0.6626608582444544,0.5095388313053928,8,2.0794415416798357,0.0,1.0,1
2003,2006,28,"McConnell, Pam",0.46683369124314,0.1896921975662133,7,1.9459101490553132,0.0,1.0,1
2003,2006,29,"Ootes, Case",0.6218498570383669,0.2756167298357604,6,1.791759469228055,0.0,1.0,1
2003,2006,30,"Fletcher, Paula",0.3945761055460542,0.133703884681163,6,1.791759469228055,0.0,1.0,1
2003,2006,31,"Davis, Janet",0.538899660688318,0.13657295201163355,5,1.6094379124341003,0.0,1.0,1
2003,2006,32,"Bussin, Sandra",0.6343902186301937,0.37110144026525754,9,2.1972245773362196,0.0,1.0,1
2003,2006,33,"Carroll, Shelley",0.3656825714946427,0.06328528482232332,5,1.6094379124341003,0.0,1.0,1
2003,2006,34,"Minnan-Wong, Denzil",0.7089130434782609,0.5497101449275363,5,1.6094379124341003,1.0,1.0,1
2003,2006,36,"Ashton, Brian",0.7804796579597836,0.5609593159195672,4,1.3862943611198906,0.0,1.0,1
2003,2006,37,"Thompson, Michael",0.4956757454498515,0.2295081967213114,3,1.0986122886681098,0.0,1.0,1
2003,2006,38,"De Baeremaeker, Glenn",0.4643942200815116,0.2741015190811411,8,2.0794415416798357,0.0,1.0,1
2003,2006,39,"Del Grande, Mike",0.5164384684758547,0.03287693695170951,6,1.791759469228055,0.0,1.0,1
2003,2006,42,"Cho, Raymond",0.6999409830537054,0.42053789731051355,4,1.3862943611198906,0.0,1.0,1
2006,2010,1,HALL SUZAN,0.5089201877934272,0.1960354720918101,6,1.791759469228055,0.0,0.0,0
2006,2010,3,HOLYDAY DOUG,0.6975264512439233,0.5423219902773806,4,1.3862943611198906,1.0,0.0,1
2006,2010,4,LINDSAY LUBY GLORIA,0.6854650364060998,0.4032834180519303,3,1.0986122886681098,0.0,0.0,1
2006,2010,5,MILCZYN PETER,0.5579182253724486,0.3048500360963444,5,1.6094379124341003,0.0,0.0,1
2006,2010,6,GRIMES MARK,0.4261820097458185,0.1787172395627552,6,1.791759469228055,1.0,0.0,1
2006,2010,7,MAMMOLITI GIORGIO,0.6263455184908878,0.3329425556858148,9,2.1972245773362196,0.0,0.0,1
2006,2010,8,PERRUZZA ANTHONY,0.456983024691358,0.055844907407407385,8,2.0794415416798357,1.0,1.0,1
2006,2010,9,AUGIMERI MARIA,0.7755451047456178,0.5510902094912355,5,1.6094379124341003,0.0,0.0,1
2006,2010,11,NUNZIATA FRANCES,0.4960128814598988,0.127051065787456,4,1.3862943611198906,0.0,0.0,1
2006,2010,12,DI GIORGIO FRANK,0.4818577648766328,0.21819061441702947,7,1.9459101490553132,1.0,0.0,1
2006,2010,13,SAUNDERCOOK BILL,0.4336128144162182,0.1314603929420598,5,1.6094379124341003,0.0,0.0,0
2006,2010,14,PERKS GORD,0.3013979938393492,0.06618750493641898,10,2.302585092994046,0.0,1.0,1
